cluster	gene
238	AT1G16880
238	AT1G21440
238	AT1G65370
238	AT1G79790
238	AT2G24440
238	AT2G39500
238	AT2G45860
238	AT4G38370
238	AT5G04620
238	AT5G24750
239	AT2G40450
240	AT5G23980
241	AT5G06860
242	AT1G03790
243	AT5G57180
244	AT5G56795
245	AT1G26720
246	AT5G11420
247	AT2G18210
247	AT3G63380
247	AT4G04745
247	AT4G23030
247	AT4G31800
248	AT1G23480
248	AT1G26700
248	AT1G71015
248	AT1G77640
248	AT2G47240
248	AT3G16320
248	AT4G12270
248	AT5G52250
249	AT1G09070
249	AT1G44350
249	AT1G52690
249	AT1G75600
249	AT2G21620
249	AT2G22470
249	AT2G32190
249	AT2G38250
249	AT2G39050
249	AT2G41630
249	AT2G43020
249	AT3G05880
249	AT3G23605
249	AT3G23920
249	AT4G02890
249	AT4G04610
249	AT4G05320
249	AT4G21990
249	AT4G32020
249	AT4G33930
249	AT5G01410
249	AT5G04340
249	AT5G08790
249	AT5G10650
249	AT5G19110
249	AT5G53590
249	AT5G64240
249	AT5G64430
250	AT3G03000
251	AT1G61390
252	AT1G09600
252	AT1G72420
252	AT1G73650
252	AT2G40960
252	AT3G54260
252	AT3G58940
252	AT4G22760
253	AT1G16590
254	AT1G79040
255	AT4G03470
256	AT2G42560
257	AT3G03965
258	AT3G04860
259	AT1G51840
260	AT3G58770
261	AT1G17850
261	AT1G32990
261	AT1G53520
261	AT2G18390
261	AT2G29540
261	AT2G40760
261	AT2G43030
261	AT3G07590
261	AT3G12080
261	AT3G14150
261	AT3G16310
261	AT3G18830
261	AT3G29185
261	AT3G58220
261	AT4G10890
261	AT4G34360
261	AT5G04810
261	AT5G05640
261	AT5G14080
261	AT5G16190
261	AT5G22340
261	AT5G25900
261	AT5G38110
261	AT5G40950
261	AT5G46840
261	AT5G53900
262	AT1G29530
262	AT1G48350
262	AT1G49510
262	AT1G78630
262	AT2G06010
262	AT2G17033
262	AT2G24060
262	AT3G25440
262	AT4G38160
262	AT5G14910
262	AT5G38860
263	AT5G60380
264	AT1G42470
265	AT1G53110
266	AT3G54990
267	AT4G37340
268	AT5G47250
269	AT1G73300
270	AT1G17235
270	AT4G18205
270	AT5G40500
271	AT1G75490
272	AT1G64185
272	AT1G78010
272	AT2G37260
272	AT3G04020
272	AT3G06778
272	AT3G14130
272	AT3G19810
272	AT4G00335
272	AT4G24770
272	AT4G27950
273	AT5G13740
274	AT1G15100
274	AT1G67340
274	AT1G77000
274	AT1G80120
274	AT2G30550
274	AT4G15280
274	AT5G06320
274	AT5G60800
274	AT5G66690
275	AT5G03175
276	AT4G00210
277	AT3G14330
278	AT4G12990
279	AT1G60950
280	AT1G71120
281	AT5G66620
282	AT2G47560
283	AT2G23610
284	AT3G29290
285	AT5G41300
286	AT2G25940
287	AT1G09390
287	AT1G24320
287	AT1G49860
287	AT2G03380
287	AT3G42630
287	AT5G23330
288	AT1G05820
289	AT1G54160
290	AT1G09420
